comparison,target,model,min_rating_count_filter,pr_auc_left,pr_auc_right,pr_auc_delta,precision_at_10_delta,lift_at_10_delta
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_category_m25,HistGradientBoostingClassifier,0,0.5159862898348392,0.5387441890531832,0.022757899218344035,0.03616236162361619,0.12127300984614608
content_only_core -> content_plus_reliability,low_rating_bottom20_raw,ExtraTreesClassifier,25,0.42030811262926493,0.44177221156124985,0.02146409893198492,0.03783783783783784,0.22159703250063334
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom20_raw,ExtraTreesClassifier,0,0.3972911513227985,0.41849773508239363,0.02120658375959511,0.005904059040590326,0.02654038038405826
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_category_m25,HistGradientBoostingClassifier,25,0.5530987368516012,0.5738750869332379,0.020776350081636696,0.03918918918918923,0.13520298393649055
content_only_core -> content_plus_reliability,low_rating_bottom30_category_relative,HistGradientBoostingClassifier,0,0.4936448542797661,0.5142412853643138,0.020596431084547673,0.02730627306273059,0.08652784440233563
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom20_raw,XGBoostClassifier,25,0.4239542388763399,0.44401491000414683,0.02006067112780696,0.016216216216216273,0.09432265819539332
content_only_core -> content_plus_reliability,low_rating_bottom30_bayes_category_m25,XGBoostClassifier,0,0.5304858871138397,0.5500532222572883,0.01956733514344855,0.01845018450184499,0.061733072007130296
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_category_relative,HistGradientBoostingClassifier,0,0.49131353453422016,0.5107585334809863,0.019444998946766157,0.012546125461254665,0.03965471869352233
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_raw,HistGradientBoostingClassifier,0,0.48858196652249186,0.5079996879638614,0.01941772144136955,0.03763837638376388,0.12457058719914027
content_only_core -> content_plus_reliability,low_rating_bottom30_category_relative,XGBoostClassifier,0,0.5022292553593577,0.5213852590892014,0.019156003729843718,0.01918819188191878,0.061004997424326524
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_category_m25,HistGradientBoostingClassifier,0,0.5181398872308973,0.536814229911483,0.018674342680585654,0.0184501845018451,0.06157470453376712
content_only_core -> content_plus_reliability,low_rating_bottom30_raw,ExtraTreesClassifier,25,0.523720469761537,0.5420785538495425,0.018358084088005544,0.0013513513513513375,0.005115089514066362
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_raw,ExtraTreesClassifier,25,0.525015359950991,0.5433394709203466,0.0183241109693556,0.043243243243243246,0.16368286445012803
content_only_core -> content_plus_reliability,low_rating_bottom30_raw,XGBoostClassifier,0,0.5037281229325761,0.5218611905294614,0.018133067596885377,0.01918819188191878,0.06350657386622816
content_only_core -> content_plus_reliability,low_rating_bottom30_raw,HistGradientBoostingClassifier,0,0.49108168094936105,0.5091733502772017,0.01809166932784062,0.011808118081180874,0.039080968533063754
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_category_relative,XGBoostClassifier,25,0.5303076026250888,0.5482970161715192,0.017989413546430355,0.02297297297297307,0.0818368716824267
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_bayes_global_m25,XGBoostClassifier,0,0.5044690277441684,0.5220455981213048,0.017576570377136447,0.0044280442804428555,0.015557712241864419
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_category_relative,ExtraTreesClassifier,25,0.528698236800859,0.5458354627662161,0.01713722596535705,0.03513513513513511,0.12512993922234816
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_category_relative,XGBoostClassifier,0,0.5066972789586895,0.5236576841103594,0.016960405151669855,0.0022140221402213722,0.006788165475461794
