seed,target,feature_set,model,min_rating_count_filter,n_obs,rmse,mae,r2,spearman,pearson
33,continuous_bayes_global_m25,content_only_core,DummyRegressor,25,1480,0.18330397444130686,0.1431597852895745,-2.0872218837952872e-05,,9.101562339983013e-16
33,continuous_bayes_global_m25,content_only_core,Ridge,25,1480,0.15909957739496305,0.12310349707634305,0.24663861881188875,0.5032388935523551,0.5042991324714258
33,continuous_bayes_global_m25,content_only_core,HistGradientBoostingRegressor,25,1480,0.15600042357428884,0.11897982193941564,0.2757027160722214,0.5288984956434943,0.525839082656408
33,continuous_category_residual,content_only_core,DummyRegressor,25,1480,0.24053710847956886,0.1852093881982647,-4.8728336329073585e-05,,
33,continuous_category_residual,content_only_core,Ridge,25,1480,0.21208113211771476,0.16026288514980558,0.2225704284926553,0.49448934768338104,0.4785139791371961
33,continuous_category_residual,content_only_core,HistGradientBoostingRegressor,25,1480,0.2089570800749543,0.15647850186415396,0.24530552295365693,0.5083643370038134,0.49650519751262656
44,continuous_base_rating,content_only_core,DummyRegressor,25,1480,0.24669469739929603,0.18665561098623976,-2.0757726870712645e-08,,1.2893017166379937e-15
44,continuous_base_rating,content_only_core,Ridge,25,1480,0.2176104707506521,0.16067993146105392,0.2218918634248087,0.5096977946053146,0.47822179533760767
44,continuous_base_rating,content_only_core,HistGradientBoostingRegressor,25,1480,0.22064429571625516,0.1621680748828163,0.2000445746664946,0.46799113960111915,0.4473245810267687
44,continuous_bayes_global_m25,content_only_core,DummyRegressor,25,1480,0.18934741902274035,0.1451878671487619,-3.140357359932011e-06,,2.7336247470307066e-15
44,continuous_bayes_global_m25,content_only_core,Ridge,25,1480,0.16398550514471305,0.12347073153661665,0.24994431264719252,0.5254177118117012,0.5049638119450495
44,continuous_bayes_global_m25,content_only_core,HistGradientBoostingRegressor,25,1480,0.16558650769370048,0.1245710135662371,0.2352271214405096,0.49604155863053107,0.48520318967506576
44,continuous_category_residual,content_only_core,DummyRegressor,25,1480,0.24564617852706835,0.18619119886606772,-6.876847375991701e-07,,-1.2673213408795206e-17
44,continuous_category_residual,content_only_core,Ridge,25,1480,0.21761098501608536,0.16068065687067357,0.2152308834564015,0.5039319506643303,0.4706135303085213
44,continuous_category_residual,content_only_core,HistGradientBoostingRegressor,25,1480,0.22045059218691532,0.1631801427505395,0.19461634096280422,0.457356465764931,0.44129007980142826
55,continuous_base_rating,content_only_core,DummyRegressor,25,1480,0.2533853619695352,0.19057066955393528,-0.0008115779956352487,,
55,continuous_base_rating,content_only_core,Ridge,25,1480,0.22275766781218687,0.16488879881003699,0.2265101817557924,0.49421193975737426,0.478228021708829
55,continuous_base_rating,content_only_core,HistGradientBoostingRegressor,25,1480,0.22289946193481847,0.16313939240879308,0.22552515423338637,0.49049771707147644,0.47530854298925906
55,continuous_bayes_global_m25,content_only_core,DummyRegressor,25,1480,0.19565200178414813,0.1472066526843552,-0.0009619216424394672,,2.922994298975612e-15
55,continuous_bayes_global_m25,content_only_core,Ridge,25,1480,0.17004768097968856,0.12664417991141458,0.24388058027273218,0.5017541400903399,0.49583760630544177
55,continuous_bayes_global_m25,content_only_core,HistGradientBoostingRegressor,25,1480,0.16864506432717408,0.12506176223610893,0.2563026467807725,0.5125732034130321,0.5083201371780283
55,continuous_category_residual,content_only_core,DummyRegressor,25,1480,0.25152736119409236,0.189044151623423,-0.0006612069552280886,,
55,continuous_category_residual,content_only_core,Ridge,25,1480,0.22275753064532855,0.1648887739477359,0.21515953884987116,0.4838495411138269,0.4665400485205074
55,continuous_category_residual,content_only_core,HistGradientBoostingRegressor,25,1480,0.2220505767614335,0.1646174226230633,0.22013324786710486,0.48065950746163044,0.4696448648571346
11,continuous_base_rating,content_plus_reliability,DummyRegressor,25,1480,0.25148416719114774,0.18897456279809205,-4.2554356501245394e-05,,1.3960242413467512e-15
11,continuous_base_rating,content_plus_reliability,Ridge,25,1480,0.21678283722693192,0.15931137731110875,0.25690048756184025,0.5240683000909172,0.5088180528173912
11,continuous_base_rating,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.21725350954768402,0.15833227348933326,0.25367019436371574,0.5023829462367617,0.5068864084697146
11,continuous_bayes_global_m25,content_plus_reliability,DummyRegressor,25,1480,0.19163255896480894,0.14624736348073192,-3.77437143028736e-06,,-2.3440227730032172e-15
11,continuous_bayes_global_m25,content_plus_reliability,Ridge,25,1480,0.16190666122016772,0.12175258501552426,0.2861738145428214,0.5593462719932811,0.5368843505404982
11,continuous_bayes_global_m25,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.16284770743835336,0.12137217357347085,0.2778517899103682,0.5398646635996891,0.5290647299699573
11,continuous_category_residual,content_plus_reliability,DummyRegressor,25,1480,0.2502390745722382,0.1882205828710868,-3.064238612426884e-05,,-2.623059221958639e-17
11,continuous_category_residual,content_plus_reliability,Ridge,25,1480,0.2167830564087556,0.15931158492503164,0.24949476278472404,0.5165333100884888,0.5013019413852994
11,continuous_category_residual,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.21799646234471076,0.15944676548369735,0.24106960098986996,0.4899072131836127,0.4934911213004935
22,continuous_base_rating,content_plus_reliability,DummyRegressor,25,1480,0.23741134463808958,0.18069506880105252,-3.0104830617050382e-05,,-1.3650147068562996e-16
22,continuous_base_rating,content_plus_reliability,Ridge,25,1480,0.20540434273746397,0.15374688415104346,0.2514352342836659,0.5175694788841438,0.5090257104228271
22,continuous_base_rating,content_plus_reliability,HistGradientBoostingRegressor,25,1480,0.20354650181949008,0.1473748938761146,0.2649152305473462,0.5282779606050018,0.5150159550044812
22,continuous_bayes_global_m25,content_plus_reliability,DummyRegressor,25,1480,0.18059711382740842,0.13956103267324516,-2.9354626331468125e-05,,-1.588407638028075e-15
22,continuous_bayes_global_m25,content_plus_reliability,Ridge,25,1480,0.15374768128249539,0.11629008867301069,0.27521651818527626,0.5480831639692039,0.5333923148863023
